record_date,security_type_desc,security_class_desc,debt_held_public_mil_amt,intragov_hold_mil_amt,total_mil_amt,total_mil_amt_growth
2023-01-31,Total Marketable,_,24106541.7269881,21067.57416429,24127609.3011524,0.0
2022-12-31,Total Marketable,_,23918634.9497018,20664.8635737,23939299.8132755,0.007866123459988283
2022-11-30,Total Marketable,_,23933071.1112024,20429.19253418,23953500.3037366,-0.0005928357142394217
2022-10-31,Total Marketable,_,23722955.8054269,20529.68646208,23743485.491889,0.008845155102410896
2022-09-30,Total Marketable,_,23673574.3822324,20549.55975701,23694123.9419895,0.002083282337019597
2022-08-31,Total Marketable,_,23654170.8613462,20787.52263208,23674958.3839783,0.0008095286885137803
2022-07-31,Total Marketable,_,23334111.947874,20633.99237226,23354745.9402463,0.013710808267890066
2022-06-30,Total Marketable,_,23290866.292434,20715.8076372,23311582.1000712,0.0018516049228150774
2022-05-31,Total Marketable,_,23284837.788132,22317.52872032,23307155.3168524,0.00018993236877776353
2022-04-30,Total Marketable,_,23232158.2921294,22461.22767368,23254619.5198031,0.0022591553048012937
2022-03-31,Total Marketable,_,23262473.475766,23638.62845124,23286112.1042172,-0.001352419170411823
2022-02-28,Total Marketable,_,23171257.3746167,24704.79721078,23195962.1718275,0.0038864493622598525
2022-01-31,Total Marketable,_,22893923.6801062,24974.61151724,22918898.2916234,0.012088883011683154
2021-12-31,Total Marketable,_,22565547.3232572,24544.2382575,22590091.5615147,0.014555351810475351
2021-11-30,Total Marketable,_,22327320.5466933,24286.41610989,22351606.9628032,0.010669684694634257
2021-10-31,Total Marketable,_,22107636.9080197,24445.17190875,22132082.0799285,0.009918853638889558
2021-09-30,Total Marketable,_,21855465.2577433,23236.95456723,21878702.2123106,0.01158111962762248
2021-08-31,Total Marketable,_,21908889.0832579,23298.69705336,21932187.7803112,-0.002438679101982448
2021-07-31,Total Marketable,_,21675032.5649067,23509.26869171,21698541.8335984,0.010767817879403209
2021-06-30,Total Marketable,_,21714913.1258477,24112.06159946,21739025.1874471,-0.0018622432928628297
2021-05-31,Total Marketable,_,21396095.7370167,25231.35057694,21421327.0875936,0.014830925206193182
2021-04-30,Total Marketable,_,21434152.2783657,22701.65716151,21456853.9355273,-0.0016557342488534481
2021-03-31,Total Marketable,_,21365900.3040468,22199.65751416,21388099.9615609,0.0032145900799960395
2021-02-28,Total Marketable,_,21136543.5449033,21976.33251414,21158519.8774174,0.010850479403738103
2021-01-31,Total Marketable,_,21027006.5599919,21958.90956515,21048965.4695571,0.005204740727935007
2020-12-31,Total Marketable,_,20958522.5268204,21868.75337554,20980391.280196,0.003268489536028259
2020-11-30,Total Marketable,_,20670657.3778254,21752.3004318,20692409.6782572,0.013917257893912625
2020-10-31,Total Marketable,_,20420124.3055336,22102.65261844,20442226.958152,0.012238525705509425
2020-09-30,Total Marketable,_,20352949.789576,21990.65704205,20374940.4466181,0.003302415126571304
2020-08-31,Total Marketable,_,20168949.369174,21797.00158054,20190746.3707545,0.009122697719109465
2020-07-31,Total Marketable,_,19986091.2431548,21772.70160356,20007863.9447583,0.009140527269734416
2020-06-30,Total Marketable,_,19884443.2562637,21521.70183478,19905964.9580984,0.005119017685120735
2020-05-31,Total Marketable,_,19208457.2383436,23582.20114813,19232039.4394917,0.035041812425927084
2020-04-30,Total Marketable,_,18512019.8683681,23584.17239951,18535604.0407677,0.03757284613936737
2020-03-31,Total Marketable,_,17139136.9565828,23669.79611331,17162806.7526961,0.07998675903380119
2020-02-29,Total Marketable,_,16894346.7658171,24178.47508016,16918525.2408973,0.014438700082930111
2020-01-31,Total Marketable,_,16695918.161775,24083.93426658,16720002.0960416,0.011873392342618303
2019-12-31,Total Marketable,_,16657893.5367922,24242.60991081,16682136.146703,0.00226985015621538
2019-11-30,Total Marketable,_,16603177.4518427,24567.82020979,16627745.2720525,0.003271091405394433
2019-10-31,Total Marketable,_,16489459.9583629,24663.742508943,16514123.7008719,0.006880266445781908
2019-09-30,Total Marketable,_,16322636.9774671,24703.333550015,16347340.3110171,0.010202478610076908
2019-08-31,Total Marketable,_,16122308.721865,23998.19598252,16146306.9178475,0.012450735279123552
2019-07-31,Total Marketable,_,15944073.4240991,24066.97376081,15968140.3978599,0.011157624842243894
2019-06-30,Total Marketable,_,15906333.3878485,24566.05564053,15930899.443489,0.0023376554790897008
2019-05-31,Total Marketable,_,15914390.8668694,26860.26498102,15941251.1318504,-0.0006493648632582135
2019-04-30,Total Marketable,_,15853656.3683785,27255.20804972,15880911.5764282,0.0037995020079175427
2019-03-31,Total Marketable,_,15910365.1652759,28533.07028571,15938898.2355616,-0.003638059436506443
2019-02-28,Total Marketable,_,15740600.2083241,29076.49569442,15769676.7040185,0.01073081805792369
2019-01-31,Total Marketable,_,15591458.2486646,28388.98137788,15619847.2300424,0.009592249640439867
2018-12-31,Total Marketable,_,15589671.13772,28635.77578719,15618306.9135072,9.86225039454787e-05
2018-11-30,Total Marketable,_,15531248.0707027,28861.03841065,15560109.1091133,0.003740192564576238
2018-10-31,Total Marketable,_,15328902.1029158,28994.01526886,15357896.1181846,0.013166711727478662
2018-09-30,Total Marketable,_,15250077.8335703,27967.37441581,15278045.2079861,0.005226513543549467
2018-08-31,Total Marketable,_,15273684.2661544,28153.31480063,15301837.580955,-0.00155487031168815
2018-07-31,Total Marketable,_,15057713.5893797,27588.51172459,15085302.1011043,0.014354069835621583
2018-06-30,Total Marketable,_,14955425.1213738,26980.47204859,14982405.5934224,0.006867822863310711
2018-05-31,Total Marketable,_,14910909.286204,28485.29948355,14939394.5856875,0.0028790328475630797
2018-04-30,Total Marketable,_,14823444.9832168,26448.08968237,14849893.0728992,0.006027081296069276
2018-03-31,Total Marketable,_,14920951.8427453,23783.82448587,14944735.6672312,-0.006346220933165
2018-02-28,Total Marketable,_,14654508.4083174,23433.59497631,14677942.0032937,0.018176503482411347
2018-01-31,Total Marketable,_,14490570.5461199,23974.3970833,14514544.9432032,0.011257470401579185
2017-12-31,Total Marketable,_,14456067.1927086,24170.41037451,14480237.6030831,0.00236925256756801
2017-11-30,Total Marketable,_,14413465.5994337,24075.49193876,14437541.0913725,0.002957325727447817
2017-10-31,Total Marketable,_,14249595.506252,24082.20051423,14273677.7067663,0.011480109609629302
2017-09-30,Total Marketable,_,14175677.0630199,24114.4855967,14199791.5486166,0.005203326957070641
2017-08-31,Total Marketable,_,14069264.8845128,24298.31540296,14093563.1999157,0.0075373663277385405
2017-07-31,Total Marketable,_,14039900.7651859,20272.9917205,14060173.7569064,0.0023747532275622952
2017-06-30,Total Marketable,_,13988971.8036841,20445.137187,14009416.9408711,0.0036230498563591604
2017-05-31,Total Marketable,_,13960582.7057235,22071.0549848,13982653.7607083,0.001914027238377729
2017-04-30,Total Marketable,_,13928045.4052302,22300.7326684,13950346.1378986,0.0023159011604687897
2017-03-31,Total Marketable,_,13944289.7630833,22379.8887806,13966669.6518639,-0.0011687477668035863
2017-02-28,Total Marketable,_,13876477.2672456,22449.4202133,13898926.6874589,0.004873970913604667
2017-01-31,Total Marketable,_,13841231.1986793,22529.5452626,13863760.7439419,0.00253653710320758
2016-12-31,Total Marketable,_,13898806.1153834,22458.8871119,13921265.0024953,-0.004130677674988111
2016-11-30,Total Marketable,_,13898963.8951561,22505.8588272,13921469.7539833,-1.4707605706758777e-05
2016-10-31,Total Marketable,_,13747584.0299809,22471.008595,13770055.0385759,0.010995941191463732
2016-09-30,Total Marketable,_,13638303.3096266,22300.6735135,13660603.9831401,0.008012168098195752
2016-08-31,Total Marketable,_,13576678.9316313,22392.3149151,13599071.2465464,0.004524774926032235
2016-07-31,Total Marketable,_,13472059.5512342,22162.9351046,13494222.4863388,0.007769900067510155
2016-06-30,Total Marketable,_,13408515.2928791,22280.6314748,13430795.9243539,0.004722472319744638
2016-05-31,Total Marketable,_,13369129.1807294,24403.1469563,13393532.3276857,0.0027822082895317553
2016-04-30,Total Marketable,_,13330567.7352561,24603.1003076,13355170.8355637,0.0028724074438528815
2016-03-31,Total Marketable,_,13421615.6935297,24524.6816571,13446140.3751868,-0.006765475971898342
2016-02-29,Total Marketable,_,13288187.3649807,24543.4573885,13312730.8223693,0.010021201104234153
2016-01-31,Total Marketable,_,13164555.6608389,24403.4848577,13188959.1456966,0.00938449162708068
2015-12-31,Total Marketable,_,13182270.7040941,24284.6873494,13206555.3914435,-0.0013323872293224898
2015-11-30,Total Marketable,_,13098315.5823932,24327.3658211,13122642.9482143,0.006394477359503174
2015-10-31,Total Marketable,_,12775371.3927853,27647.34265417,12803018.7354394,0.024964753967762685
